x,y
804,0.442337
805,0.442848
806,0.443359
807,0.443869
808,0.44438
809,0.44489
810,0.445401
811,0.445911
812,0.446421
813,0.446931
814,0.447441
815,0.44795
816,0.44846
817,0.448969
818,0.449478
819,0.449987
820,0.450496
821,0.451005
822,0.451513
823,0.452022
824,0.45253
825,0.453038
826,0.453546
827,0.454054
828,0.454562
829,0.455069
830,0.455577
831,0.456084
832,0.456591
833,0.457098
834,0.457605
835,0.458111
836,0.458618
837,0.459124
838,0.45963
839,0.460137
840,0.460642
841,0.461148
842,0.461654
843,0.462159
844,0.462665
845,0.46317
846,0.463675
847,0.46418
848,0.464684
849,0.465189
850,0.465693
851,0.466198
852,0.466702
853,0.467206
854,0.467709
855,0.468213
856,0.468717
857,0.46922
858,0.469723
859,0.470226
860,0.470729
861,0.471232
862,0.471734
863,0.472237
864,0.472739
865,0.473241
866,0.473743
867,0.474245
868,0.474747
869,0.475248
870,0.47575
871,0.476251
872,0.476752
873,0.477253
874,0.477753
875,0.478254
876,0.478754
877,0.479255
878,0.479755
879,0.480255
880,0.480755
881,0.481254
882,0.481754
883,0.482253
884,0.482752
885,0.483251
886,0.48375
887,0.484249
888,0.484747
889,0.485246
890,0.485744
891,0.486242
892,0.48674
893,0.487238
894,0.487735
895,0.488233
896,0.48873
897,0.489227
898,0.489724
899,0.490221
900,0.490718
901,0.491214
902,0.49171
903,0.492207
904,0.492703
905,0.493198
906,0.493694
907,0.49419
908,0.494685
909,0.49518
910,0.495675
911,0.49617
912,0.496665
913,0.497159
914,0.497654
915,0.498148
916,0.498642
917,0.499136
918,0.49963
919,0.500123
920,0.500617
921,0.50111
922,0.501603
923,0.502096
924,0.502589
925,0.503082
926,0.503574
927,0.504066
928,0.504558
929,0.50505
930,0.505542
931,0.506034
932,0.506525
933,0.507017
934,0.507508
935,0.507999
936,0.508489
937,0.50898
938,0.509471
939,0.509961
940,0.510451
941,0.510941
942,0.511431
943,0.51192
944,0.51241
945,0.512899
946,0.513388
947,0.513877
948,0.514366
949,0.514855
950,0.515343
951,0.515832
952,0.51632
953,0.516808
954,0.517296
955,0.517783
956,0.518271
957,0.518758
958,0.519245
959,0.519732
960,0.520219
961,0.520706
962,0.521192
963,0.521678
964,0.522164
965,0.52265
966,0.523136
967,0.523622
968,0.524107
969,0.524593
970,0.525078
971,0.525563
972,0.526047
973,0.526532
974,0.527016
975,0.527501
976,0.527985
977,0.528469
978,0.528952
979,0.529436
980,0.529919
981,0.530402
982,0.530886
983,0.531368
984,0.531851
985,0.532334
986,0.532816
987,0.533298
988,0.53378
989,0.534262
990,0.534744
991,0.535225
992,0.535706
993,0.536188
994,0.536669
995,0.537149
996,0.53763
997,0.53811
998,0.538591
999,0.539071
1000,0.539551
1001,0.54003
1002,0.54051
1003,0.540989
1004,0.541469
1005,0.541948
1006,0.542427
1007,0.542905
1008,0.543384
1009,0.543862
1010,0.54434
1011,0.544818
1012,0.545296
1013,0.545774
1014,0.546251
1015,0.546728
1016,0.547206
1017,0.547682
1018,0.548159
1019,0.548636
1020,0.549112
1021,0.549588
1022,0.550064
1023,0.55054
1024,0.551016
1025,0.551491
1026,0.551967
1027,0.552442
1028,0.552917
1029,0.553392
1030,0.553866
1031,0.554341
1032,0.554815
1033,0.555289
1034,0.555763
1035,0.556236
1036,0.55671
1037,0.557183
1038,0.557656
1039,0.558129
1040,0.558602
1041,0.559075
1042,0.559547
1043,0.560019
1044,0.560492
1045,0.560963
1046,0.561435
1047,0.561907
1048,0.562378
1049,0.562849
1050,0.56332
1051,0.563791
1052,0.564261
1053,0.564732
1054,0.565202
1055,0.565672
1056,0.566142
1057,0.566612
1058,0.567081
1059,0.567551
1060,0.56802
1061,0.568489
1062,0.568957
1063,0.569426
1064,0.569894
1065,0.570363
1066,0.570831
1067,0.571298
1068,0.571766
1069,0.572234
1070,0.572701
1071,0.573168
1072,0.573635
1073,0.574102
1074,0.574568
1075,0.575034
1076,0.575501
1077,0.575967
1078,0.576432
1079,0.576898
1080,0.577363
1081,0.577829
1082,0.578294
1083,0.578758
1084,0.579223
1085,0.579688
1086,0.580152
1087,0.580616
1088,0.58108
1089,0.581544
1090,0.582007
1091,0.58247
1092,0.582934
1093,0.583397
1094,0.583859
1095,0.584322
1096,0.584784
1097,0.585247
1098,0.585709
1099,0.58617
1100,0.586632
1101,0.587093
1102,0.587555
1103,0.588016
1104,0.588477
1105,0.588937
1106,0.589398
1107,0.589858
1108,0.590318
1109,0.590778
1110,0.591238
1111,0.591697
